# position,title,source,price,extracted_price,old_price,delivery,thumbnail,rating,reviews,store_rating,store_reviews
51,Apple iPhone 14 Pro (128GB) - Deep Purple,Back Market,$619.00,619.0,NA,Delivery by Wed May 1,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcR35_rdT5LXDgHq02d3do782niUCzRnYYrVY9A_PKz3Riu71pjXEGIl4zXpsXM36qqJZOTdQS0&usqp=CAE,4.7,9869,4.6,12700
52,Samsung Galaxy A51 A516U 5G 128GB Unlocked Smartphone Great,Priority Wireless,$99.74,99.74,NA,Free delivery by Mon Apr 29,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQxhXBClLOhIoeeGgueM2vdxl0gKpC9H7oDKVAZtC0eM2RVmjC4R_z4Tf1x37CoFAdq8NPBjyY&usqp=CAE,4.6,4181,NA,NA
53,Asus ROG Phone 6D Ultimate Dual-SIM 512GB ROM + 16GB Ram (GSM | CDMA) Factory ...,Techinn,$784.49,784.49,NA,$11.99 delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcR4LqhW3LjwdCk00di5Xr4l73FLJetgUzmkJIAkORICvWnTGyiLO-nIhZH2TSWhJwzn6cHM0C4tQw&usqp=CAE,4.7,263,NA,NA
54,Samsung Galaxy S22 Certified Re-Newed 128GB in Phantom Black with 24 Monthly ...,Samsung,$0.00,0.0,NA,Free delivery by May 10 & Free 15-day returns,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTezqtpm56S5rOt_siphe6Z7pKF_C6G318yUJzizd3wHJPOU65nA3d1almqkUtJNW6Vp9xIyvE&usqp=CAE,NA,NA,4.0,2400
55,Vntub Clearance 9 Pro Unlocked Android Smartphone 8GB Rom+1gb RAM Android Phone ...,Walmart - nanchongzhonghanghengdianzishangwuyouxiangongsi,$31.98,31.98,$40.09,$15.00 delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTefhhuq0NIeTNu9n1ZOl50PRekbdDMqgCNgVz3o6s9ueyKyjft&usqp=CAE,NA,NA,NA,NA
56,iLight Mini Smartphone 11 Pro The World's Smallest 11 Pro Android Mobile Phone ...,eBay - sonikrissi2,$84.43,84.43,NA,Free delivery by Fri May 3,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSHBnFOa4zXUBHTfuTyu0ah22JNdRFKaB6Xw13ETnyV5-GvlRiP6KpdbHnW3c5mmPa8p5MSofSy&usqp=CAE,NA,NA,NA,NA
57,Apple iPhone 14 128GB in Purple | Smartphone | Verizon (with contract),Verizon,$0.00,0.0,NA,13.3 mi · In stock,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTJnH8vTD0IkV6zGSOAVvLc8axSSxCTXHhOc4jmW8ovLQ8v1CiV_m3q1oi4vi8&usqp=CAE,4.5,18716,NA,NA
58,OnePlus Nord N30 5G,OnePlus Official Store,$299.99,299.99,NA,Free delivery & Free 15-day returns,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRs2wFrDbgUNUYcfev7-48JD-pJjrFbBh1Y54Gr9dxWGlBUJeBj1N414nC6pQ&usqp=CAE,4.6,661,4.5,63
59,Google Pixel 7 Pro - 128 GB - Snow - Unlocked,Wireless Place,$519.99,519.99,NA,20.3 mi · In stock,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQGBUlMdWjHP3WKJZWeQPApScLYvO0BDQqJJg9xS3S31IyNNdxy_0J-DiCKPek&usqp=CAE,4.4,4571,NA,NA
60,Apple iPhone 12 mini - 64 GB - Black - T-Mobile,Reebelo USA,$191.00,191.0,NA,Free delivery by Apr 26 & Free 30-day returns,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQPRyPS0xwPxDNqoAqtr2DwU6gU7rf7D5jTmNRtkspQmlVN-qHS&usqp=CAE,4.5,12528,4.8,2600
61,Apple iPhone 14 128gb Midnight - Unlocked (Renewed),CellularCountry,$623.99,623.99,NA,Delivery by Sat Apr 27,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQHFoBQi3uleKBTZ3GreXAaMYpHk-FtM35Lpx7LNZLNmITJqjX92HSap6BLuKBDf3Bp42ZcJG_XdQ&usqp=CAE,4.5,18716,3.0,16
62,Cat S22 IP68 16GB 4G LTE GSM Unlocked Rugged Flip Phone - Black,Cellification,$69.99,69.99,NA,Free delivery by Mon Apr 29,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQhPY6bPPypsfTdDqmy_pzsyXi5bCGnynta1Pwf289pEiWHsPhhnmIPz-iaIRbQeXBXpVc1bJY&usqp=CAE,3.7,159,NA,NA
63,Nokia G50 5G | Android 11 | Unlocked Smartphone | US Version | 4/128GB | 6.82 ...,Amazon,$199.00,199.0,· Was $258.87,Free delivery,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQU2thYbA4SnUZDPHn_HjL-s3s3b0UoYuRjwVRQ-TK-0U_dpQMkOtY4U-FPVpawYnqynAq83GA&usqp=CAE,4.1,334,4.5,4900
64,Smartphone Poco 12 GB Ram White,Sears,$525.19,525.19,NA,Free delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTRk1h7fdsx22OFChLjSM2Wp57hRzq_FJEE5VW7fckm7TFv7dJJpPHf8-SLuV-ePu16W8L-ePyG&usqp=CAE,4.9,878,NA,NA
65,Tracfone 6.5 BLU View 5G Smartphone with 1-YrUnlimited Plan Silver Glitter,QVC,$79.98,79.98,$97.00,$5.50 delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQOJH5n5b3w0aIT9x0HQ8UDDB_Bq1bC-JBeHLyA5PX3Z-R59fwW1tSi0mmjAAOdn-sCWsP_2EE&usqp=CAE,NA,NA,4.5,2900
66,Samsung Galaxy Z Fold5 512GB in Blue (Unlocked)(SM-F946UZBEXAA),Samsung,$1919.99,1919.99,NA,Free delivery by May 10 & Free 15-day returns,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQrQ9cEhBKAPp79cQmmJg5JbUxn7icSptElGtn6HIDFsUq1EEu3GXH9_9QqmDxWCSmO13JLdXDB&usqp=CAE,4.5,23319,4.0,2400
67,Nothing Phone (2A) 5G Dual Sim 256GB ROM 12GB Ram GSM Unlocked - Black,MyWorldPhone,$469.99,469.99,$699.99,Free delivery by Tue Apr 30,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTQXg8mEZmBs4SczvmQn8QiNA4nYdw3aDtsoDEuXP88qbtrIMKeKWDv2SH2HfQ&usqp=CAE,4.5,68,NA,NA
68,Apple iPhone XR - 64gb - Product Red - AT&T,Unclaimed Baggage,$154.99,154.99,NA,Free delivery by Mon Apr 29,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTnXOMhQqq0oh93a5b1cuFaYBceUXwj47akc9O5Z7qewxr6_LjgA656dQNWowmS4g-ZIa7LUdY&usqp=CAE,4.5,44723,NA,NA
69,Apple iPhone 15 - 128GB - Black - With Contract and 36 Installment Payments,AT&T,$0.00,0.0,NA,Free delivery est. by May 1,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRRB651f1MZlR2MstlMl4WUcGyRTone3mhPXWtlg_Nh5YVai9xB1J4EIKvBl9E&usqp=CAE,4.6,8443,4.3,NA
70,Blu Tank II T193 Unlocked GSM Dual-SIM Cell Phone (Black/Blue),WirelessBoss,$22.99,22.99,NA,$3.99 delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcT4ihOrwBTrEgUzlGmArCAR_FQ3XWf2dgmZ6FGvSMIEJ_prQwKutWnsKGWV3DB9Qnw5avxNarg&usqp=CAE,4.1,14,NA,NA
71,TCL 30 Z Unlocked Cellphone With 6.1" HD+ DisplaySmartphone Android 12 32GB+3GB ...,Shein,$93.99,93.99,$99.99,Free delivery by Thu May 9,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQhT9_LXv-rCJFc57jT9QdvaKCtuLL_X7EstnH6z7XRutiNtjKLgv5lAHTTL5Knq-qziI5CXj_9&usqp=CAE,NA,NA,NA,NA
72,Apple iPhone 12 Pro 128GB (Unlocked) in Pacific Blue G,Gazelle Store,$364.99,364.99,NA,Free delivery by May 7 & Free 30-day returns,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQjU8HEb_yYIKqaSvNW7FZBXddeLDaa5xsnUOJJiHCZHgKOjoKhVDrekokPoGXTN_rcriER4dFA&usqp=CAE,4.6,10913,4.2,5800
73,Samsung Galaxy A53 A536 128GB Unlocked 5G Smartphone Great,Priority Wireless,$118.74,118.74,NA,Free delivery by Mon Apr 29,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTrMYzpz3vqZ0UY7SojjRQfAaDLzT81oSjLwfH8nBfKCvdfmWaoej9Dhxp3yFvzrW_2rs9_roA&usqp=CAE,4.1,13756,NA,NA
74,Original ZTE Axon 9 Pro 4G LTE Cell Phone 6GB RAM 64GB ROM Snapdragon 845 Octa ...,DHgate online store,$402.09,402.09,NA,Free delivery,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSK1ly9_boyvVH6GXHcOpAlrKVeMBhw-okHAa7jXvlymUKwoQV0NV1GC6_746qI8QsDhlzRxEzJ&usqp=CAE,NA,NA,NA,NA
75,Apple iPhone 14 128GB in Midnight | Smartphone | Verizon (with contract),Verizon,$0.00,0.0,NA,Free delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSQ-_4HgveJmK9Rodo4XfCbwrs0LSxc1dXTOAEJrk1Pm95hkIavC5hjSFOr1Sg&usqp=CAE,4.5,18716,NA,NA
76,Unlocked K24 Ultra 5g Smartphone 256gb 7.3" Dualsim Cell Phone,eBay - gamakoo,$159.59,159.59,NA,Free delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTfOVYj_YVjnaPf6Us6oeDuYp6fyzRrkOK3S-YbFLQlTtAc0u1-bJytHX6E1Bh6stLFjcrC8xoh&usqp=CAE,NA,NA,NA,NA
77,Apple iPhone 11 64gb Black Unlocked - Black,Micro Center,$249.99,249.99,NA,2.1 mi · In stock · Free 30-day returns,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQvuIHNGn403lgd-nnnqaFHpqIn6eXpogOnnQRN1ALqO6W1A5iUeIGpF7FBD4uokW6P1E9hY8Yh&usqp=CAE,4.3,845,4.8,128
78,Smartphone Poco M6 Pro 679" Black 512 GB 12 GB Ram,www.coolquarter,$240.70,240.7,NA,$19.74 delivery,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRBzM4MHyAqurvwwEZOhxEt4RrZDuN-EikFePnf861dfmP14dbTVvU1M0CpacFiChCeVZLkIPg&usqp=CAE,4.8,459,NA,NA
79,Walmart Family Mobile Nokia C100 32GB Blue- Prepaid Smartphone [Locked to ...,Top Sports,$24.59,24.59,NA,Free delivery by Wed May 1,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRTSaX8wM1qE6L12q3EDJqsVSkZTrjsat5IPFlgiv5FI5Ty3-qiuyz5odyn-2mhdDBunCa139mt&usqp=CAE,2.1,170,NA,NA
80,Motorola G Pure XT2163-4 Cellphone (Blue 32GB) Unlocked SCRATCHED GLA,PBMedic,$31.51,31.51,· Was $42.87,$8.60 delivery,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRkC93balaQUP7Z--h69YsM4wSgsH9PJDyNWLsKmNzczHZMRfzIrksSjD0vocCIkTzIrfw33_M&usqp=CAE,NA,NA,4.8,13
81,Samsung Galaxy A15 (A155M) 128GB/6GB RAM GSM Unlocked International Version (New ...,Wireless Place,$142.00,142.0,$199.99,Free delivery by Mon Apr 29,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTFzIv-wCzoH-disn2rqp8Ndhi8UJNhQz7aW1D1yOSGcd6S2AdYSR9TMP2wfKhi0eevDabwxIMp&usqp=CAE,4.3,2694,NA,NA
82,Google Pixel 7 128GB Obsidian (TMobile),Macy's,$369.00,369.0,NA,Free delivery by May 7 & Free 30-day returns,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQfN375l_I5UB0BX6scB9DbYa3Pm_osWzTVVORERAPEcl6HQgyKam9uggQECWV35RtwcGmJvT8_&usqp=CAE,4.2,3931,4.4,485
83,ACCOF C23 Cell Phone Unlocked with Pen 6.8" FHD+ 120Hz 6GB+256GB Android 13 ...,Amazon - Seller,$138.21,138.21,NA,Free delivery,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSXPtqHUyrQz-X65rnKBnwn2SJrr9v0-n4axFl4Vbxc3NM9-nepc0j2j0BkDqglKUbnOC1IOJVT&usqp=CAE,NA,NA,NA,NA
84,Samsung Galaxy A21 128GB Black,CellularCountry,$179.99,179.99,NA,Delivery by Sat Apr 27,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTz0M9RUb6jHloqIN5TBcTTKMyOF5qJGHwXQnnZVNXQzVR935VzzNzIn075QNED8EJNQxHd6kE&usqp=CAE,NA,NA,3.0,16
85,Samsung Galaxy A23 5G A236m 128GB GSM Unlocked Smartphone - Blue,Adorama,$259.99,259.99,NA,Free delivery,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRluxOS5mnXSSvjaDXHD38SvdAzvzlYGB2SZjVoHMNjw7Z_dKwKktd3AkzmPc6sGPwzxmm2dubJZg&usqp=CAE,4.4,4764,4.6,611
86,Unihertz Jelly 2e New Choice for A Mini Phone Android 12 4G Unlocked Smartphone ...,Unihertz,$149.99,149.99,$169.99,Free delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRYolF74unFRtjLVVgY9Y3oMQpuE9qEmuj7unsMRtJx1LtJfABOySf2fX6BG7nM2Qs_6Ns_NeU&usqp=CAE,4.6,26,NA,NA
87,OnePlus Nord N20 SE (Blue Oasis 4GB RAM 64GB Storage) Smartphone,Design Info,$138.06,138.06,NA,Delivery by Mon Apr 29 · Free 7-day returns,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTEpd4fSkxMCvmfNGTOXUCx6_jX3FEUinBE_8ZV-Y9l6zVsmgP0sZlN-gw5_XW4rlJ2Jh0WvlA&usqp=CAE,4.1,579,NA,NA
88,Motorola moto g stylus - 64 GB - Midnight Blue - Unlocked,Motorola - United States,$129.99,129.99,$199.99,Free delivery & Free 30-day returns,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSshLt3LugFBYg2wLU69BqIpaHE6EaDgW7HN-Au8wslxkursjTwG7bAYZfDJTik-FHNsaXg6ezD&usqp=CAE,4.3,612,4.1,79
89,Google Pixel 7A 128GB Charcoal Verizon Smartphone - 12 Months Warranty,radio.hospital,$299.99,299.99,NA,Free delivery by Mon Apr 29,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcR2zylIOd0uiezlopQA2g9XSi-jh-OiGy7o6xBJvDjVSSAjBFI&usqp=CAE,4.3,1366,NA,NA
90,Apple iPhone 12 Pro Max - 128 GB - Silver - T-Mobile,Swappa,$435.00,435.0,NA,Free delivery,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTiEezBpwut0jlkc5DunuzuYTyktpJYFFmNj21zYXK8vVj8DfGgf8UBFCfX5A&usqp=CAE,4.6,10966,4.9,6000
91,Samsung Galaxy A23 5G 64GB Black - Cricket Wireless,Bonanza - Rudra43,$257.39,257.39,NA,$5.00 delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSUMrJK1AebZLsJIlZyse7RAVOlmY4RLtJdq7_WwDZ_kTygEFwkXnCGTeigKZ6BQEYAhsIiF2nHTA&usqp=CAE,3.4,212,NA,NA
92,Samsung Galaxy S24+ - 256GB - Cobalt Violet - With Contract and 36 Installment ...,AT&T,$0.00,0.0,NA,8.1 mi · In stock,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSq7Dae2hLmL0_d12t_azEtocvTVYhHCU4L6ZVNLc9de-WQpVW0B-JGSl4HUA&usqp=CAE,NA,NA,4.3,NA
93,Walmart Family Mobile TCL Ion V 32GB Black - Prepaid Smartphone,Walmart,$39.88,39.88,NA,Free delivery & Free 90-day returns,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcR8xnGv883CZBaHbA4KbIIqDGqMJA6DKk7oNuA-CrhwvaxMtaQ&usqp=CAE,3.5,42,4.5,1700
94,OnePlus Ace 3 16GB+512GB 6.78 inch ColorOS 14.0/Android 14 Snapdragon 8 Gen 2 ...,bigupgadgets,$613.66,613.66,NA,$10.88 delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcS5SNblWsIYlXfzUSfVr_G4C5z2gNYd1Z5m0oOiIZVPXKxnY7sUNE5FUKpLRUH2O4QvCyZIPPE&usqp=CAE,5.0,2,NA,NA
95,Samsung Galaxy A21 A215u T-Mobile Unlocked SmartCell-Phone,Cellification,$169.99,169.99,NA,Free delivery by Mon Apr 29,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTi3xSp1NmX3TBC1gf2f7z5Zd6XHjDzAjpcXcNnTDe1TXU2CIaVGuUe0NYB_7zyz9qTA34FZyGy&usqp=CAE,4.3,3181,NA,NA
96,HTC U Ultra 64GB Factory Unlocked 4G Smartphone - Brilliant Black,ElectronicsForce,$149.00,149.0,NA,Free delivery by Fri Apr 26,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRVlI_SmXJID1lvOnP5b89nW5oE3SvL5-g9Scs11-umr35rs6vDZdWvEokerg&usqp=CAE,4.6,639,4.6,208
97,ZTE Axon M Z999 64GB Unlocked AT&T Dual-Screen Phone w/ 20MP Camera - Black,Cell2Get,$232.19,232.19,NA,Free delivery by Wed May 1,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTXKQilsognMVZ6vu16aLG8TxWiT1bGp4PV-6cHhyCHtp3CpdsVINbIbQYYjzw&usqp=CAE,4.4,79,4.5,252
98,Restored Apple iPhone 15 128GB (Cricket Wireless) Black Mtlv3ll/a Excellent Condition,Cricket Wireless,$829.99,829.99,NA,Free delivery & Free 7-day returns,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRRjH2SDc5N7texWCizDv7MK-uscsoJMNvp_disi4fdzUMA1YM&usqp=CAE,3.5,826,3.7,32
99,Fairphone 4 Dual-SIM 256GB ROM + 8GB Ram (GSM Only | No Cdma) Factory Unlocked 5G ...,Newegg - KICKmobiles,$815.00,815.0,NA,Free delivery,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQjOB8EOapD6W_pHXly6LgrtULP1-Oeiqoig-e1AUaLvFxiR3NPnYlytQ_jpg&usqp=CAE,4.5,1799,NA,NA
100,Nothing Phone (2A) International Dual Sim Factory Unlocked - 5G Milk / 12GB+256GB,MI 4 Canada,$467.74,467.74,$512.40,Free delivery by Thu May 2,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRdrUJleKqMW03psRy9ZZOIoMM6QBJSiEk9YLdYnLzE-8dm5laFvYAsKQ78jxA&usqp=CAE,4.5,68,NA,NA
